rank	Youtuber	Channel_contents	Primary_Language	subscribers	video views	category	Title	uploads	Country	Abbreviation	channel_type	video_views_rank	country_rank	channel_type_rank	video_views_for_the_last_30_days	lowest_monthly_earnings	highest_monthly_earnings	lowest_yearly_earnings	highest_yearly_earnings	subscribers_for_last_30_days	created_year	created_month	created_date	Gross tertiary education enrollment (%)	Population	Unemployment rate	Urban_population	Latitude	Longitude
11	BLACKPINK	The official channel of the global K-pop sensation BLACKPINK, featuring music videos, behind-the-scenes footage, and exclusive content.	Korean	89800000	32144597566	People & Blogs	BLACKPINK	543	South Korea	KR	Music	32	1	3	498930000	124700	2000000	1500000	23900000	0	2016	Jun	29	943	51709098	415	42106719	35907757	127766922
12	Goldmines	Offers a collection of Bollywood movies, specializing in Hindi dubbed films, bringing a cinematic experience to the digital platform.	Hindi	86900000	24118230580	Film & Animation	goldmines	1	India	IN	Entertainment	4056562	0	5663	18	0	7	5	86	0	2006	Aug	15	281	1366417754	536	471031528	20593684	7896288
13	Sony SAB	Home to some of Indias most loved comedy shows, it offers family-friendly serials and engaging programming.	Hindi	83000000	1,01E+11	Shows	Sony SAB	71270	India	IN	Entertainment	4	5	7	1657000000	414300	6600000	5000000	79600000	0	2007	Aug	4	281	1366417754	536	471031528	20593684	7896288
14	5-Minute Crafts	Delivers an array of crafty, creative DIY projects and hacks, designed to inspire and solve everyday problems with simplicity and ingenuity.	English	80100000	26236790209	Howto & Style	5-Minute Crafts 2.0	1	United Kingdom	GB	Howto	4057901	4797	6781	1	0	0	0	5	0	2020	Jul	27	600	66834405	385	55908316	55378051	-3435973
15	BANGTANTV	The official channel for BTS, offering fans a glimpse into the lives of the members, dance practices, and exclusive content.	Korean	75600000	20826993957	Music	BANGTANTV	2281	South Korea	KR	Music	112	2	4	168290000	42100	673200	504900	8100000	0	2012	Dec	17	943	51709098	415	42106719	35907757	127766922
16	Justin Bieber	The official channel of pop sensation Justin Bieber, featuring his music videos, live performances, and documentary clips.	English	71600000	30608119724	Music	Justin Bieber	249	Canada	CA	Music	38	1	6	176326000	44100	705300	529000	8500000	0	2007	Jan	15	689	36991981	556	30628482	56130366	-106346771
17	HYBE LABELS	The hub for artists under the HYBE label, featuring music videos, behind-the-scenes content, and artist vlogs.	Korean	71300000	28634566938	Music	HYBE LABELS	1337	South Korea	KR	Music	46	3	5	598173000	149500	2400000	1800000	28700000	0	2008	Jun	4	943	51709098	415	42106719	35907757	127766922
18	Zee TV	Brings a variety of Indian soap operas and serials to a global audience, known for melodramatic plots and intricate family dynamics.	Hindi	70500000	73139054467	Entertainment	Zee TV	129204	India	IN	Entertainment	9	6	8	1707000000	426800	6800000	5100000	81900000	0	2005	Dec	11	281	1366417754	536	471031528	20593684	7896288
19	Pinkfong Baby Shark - Kids' Songs & Stories	"Famous for the viral hit ""Baby Shark,"" this channel provides educational songs and stories for young children."	English	68200000	38843229963	Education	Pinkfong Baby Shark - Kids' Songs & Stories	2865	United States	US	Education	23	8	2	473387000	118300	1900000	1400000	22700000	0	2011	Dec	14	882	328239523	147	270663028	3709024	-95712891
20	Canal KondZilla	The largest Brazilian music channel, featuring a range of music videos from the funk genre, showcasing vibrant urban culture.	Portuguese	66500000	36775585925	Music	Canal KondZilla	2572	Brazil	BR	Music	25	1	7	447223000	0	0	0	0	0	2012	Mar	21	513	212559417	1208	183241641	-14235004	-5192528
21	ChuChu TV Nursery Rhymes & Kids Songs	Engages children with colorful animations and lively songs that range from nursery rhymes to original compositions.	English	65900000	45757850229	Education	ChuChu TV Nursery Rhymes & Kids Songs	633	India	IN	Education	18	7	3	420292000	105100	1700000	1300000	20200000	0	2013	Feb	9	281	1366417754	536	471031528	20593684	7896288
22	Shemaroo Filmi Gaane	A treasure trove of Bollywood songs, offering a nostalgic journey through Hindi cinema's musical history.	Hindi	65600000	28648024439	Music	Shemaroo Filmi Gaane	8502	India	IN	Music	47	8	8	254961000	63700	1000000	764900	12200000	0	2010	Jun	11	281	1366417754	536	471031528	20593684	7896288
23	Colors TV	Features a blend of reality TV, dramas, and comedies, Colors TV offers a spectrum of genres to entertain and engage viewers.	Hindi	64600000	61510906457	Shows	Colors TV	112915	India	IN	Entertainment	10	9	9	1188000000	296900	4800000	3600000	57000000	0	2008	Jun	13	281	1366417754	536	471031528	20593684	7896288
24	T-Series Bhakti Sagar	Devotional music channel providing a spiritual refuge with its collection of bhajans, devotional songs, and spiritual content.	Hindi	61000000	29533230328	Music	T- SERIES BHAKTI SAGAR	13	India	IN	Music	4053938	5803	5744	10	0	4	3	48	0	2018	Aug	3	281	1366417754	536	471031528	20593684	7896288
25	Dude Perfect	A group of friends who have mastered the art of the trick shot and now share their high-energy challenges, battles, and stunts.	English	59500000	16241549158	Sports	Dude Perfect	389	United States	US	Sports	182	9	3	141200000	35300	564800	423600	6800000	0	2009	Mar	17	882	328239523	147	270663028	3709024	-95712891
26	Movieclips	The go-to source for movie buffs, Movieclips hosts a vast collection of film trailers, clips, and original compilations.	English	59500000	59316472754	Film & Animation	Movieclips	39113	United States	US	Film	11	9	3	114668000	28700	458700	344000	5500000	0	2006	Apr	28	882	328239523	147	270663028	3709024	-95712891
27	Tips Official	A diverse mix of movie clips, music videos, and audio jukeboxes, spanning decades of Indian film music.	Hindi	59300000	33431802698	Music	Tips Official	4741	India	IN	Music	30	11	10	422634000	105700	1700000	1300000	20300000	0	2007	May	22	281	1366417754	536	471031528	20593684	7896288
28	El Reino Infantil	A Spanish-language channel that offers a mix of childrens music videos and animated stories.	Spanish	58400000	57271630846	Music	El Reino Infantil	1510	Argentina	AR	Music	13	1	11	611828000	153000	2400000	1800000	29400000	0	2011	Jun	2	900	44938712	979	41339571	-38416097	-63616672
29	Wave Music	Showcases regional music from the Bhojpuri film industry, with music videos, film scenes, and album songs.	Bhojpuri	58000000	40602020243	Music	Wave Music	19487	India	IN	Music	21	12	12	232025000	58000	928100	696100	11100000	0	2014	Oct	29	281	1366417754	536	471031528	20593684	7896288
30	Aaj Tak	India's leading Hindi news channel providing live updates, news reports, and political coverage.	Hindi	57600000	25307753534	News & Politics	Aaj Tak	283775	India	IN	News	71	13	1	461148000	115300	1800000	1400000	22100000	0	2009	Aug	27	281	1366417754	536	471031528	20593684	7896288
31	Sony Music India	The official channel for Sony Music India, with a vast catalogue of Indian pop, classical, and film music.	Hindi	57200000	28837144516	Music	Sony Music India	3882	India	IN	Music	45	14	13	259310000	64800	1000000	777900	12400000	0	2009	Sep	2	281	1366417754	536	471031528	20593684	7896288
32	EminemMusic	Official channel of rap icon Eminem, featuring music videos, live performances, and lyrical deep dives.	English	56900000	27073872856	Music	EminemMusic	156	United States	US	Music	59	10	14	260193000	65000	1000000	780600	12500000	0	2007	Feb	9	882	328239523	147	270663028	3709024	-95712891
33	Marshmello	Famed DJ and electronic music producer, the channel boasts creative music videos and original EDM tracks.	English	56400000	14696003229	Entertainment	Marshmello	436	United States	US	Music	233	11	15	112100000	28000	448400	336300	5400000	0	2015	Apr	6	882	328239523	147	270663028	3709024	-95712891
34	YRF	Yash Raj Films channel offering Bollywood movie trailers, music videos, and original web series.	Hindi	54600000	35302243691	Film & Animation	YRF	3707	India	IN	Music	28	15	16	512093000	128000	2000000	1500000	24600000	0	2006	Jun	7	281	1366417754	536	471031528	20593684	7896288
35	LooLoo Kids - Nursery Rhymes and Children's Songs	Entertaining and educational content for children, with animated nursery rhymes and original songs.	English	54000000	32312431239	Music	LooLoo Kids - Nursery Rhymes and Children's Songs	11	Romania	RO	Education	3800129	0	0	159	4	0	0	8	0	2016	Nov	29	239	19892812	55	10448074	459432	249668
36	Ed Sheeran	The singer-songwriter s official channel, featuring his music videos, live performances, and occasional vlogs.	English	53500000	30367676736	Music	Ed Sheeran	383	United Kingdom	GB	Music	39	1	18	202720000	50700	810900	608200	9700000	0	2006	Aug	8	600	66834405	385	55908316	55378051	-3435973
37	Infobells - Hindi	Offers educational and motivational content for children in Hindi, including nursery rhymes and stories.	Hindi	53300000	30516172739	Education	Infobells - Hindi	577	India	IN	Education	37	16	4	815949000	204000	3300000	2400000	39200000	0	2014	Jun	6	281	1366417754	536	471031528	20593684	7896288
38	Taylor Swift	The official channel of Taylor Swift, sharing her music videos, behind-the-scenes footage, and personal insights into her music.	English	52900000	29884657286	Music	Taylor Swift	216	United States	US	Music	40	13	19	528392000	132100	2100000	1600000	25400000	0	2006	Sep	20	882	328239523	147	270663028	3709024	-95712891
39	Ariana Grande	Showcases the music and artistry of Ariana Grande, with a catalogue of hits and fan-focused content.	English	52700000	24004842608	Music	Ariana Grande	147	United States	US	Music	78	14	20	160216000	40100	640900	480600	7700000	0	2007	Jan	22	882	328239523	147	270663028	3709024	-95712891
40	BillionSurpriseToys  - Nursery Rhymes & Cartoons	A colorful channel that creates animated videos for toddlers and young kids, featuring educational songs and stories.	English	52200000	9877365274	Education	BillionSurpriseToys  - Nursery Rhymes & Cart?	847	United States	US	Education	450	15	5	266747000	66700	1100000	800200	12800000	0	2013	Oct	25	882	328239523	147	270663028	3709024	-95712891
41	JuegaGerman	A channel focused on comedy sketches, reaction videos, and gaming content led by German Garmendia.	Spanish	48100000	14631710289	Gaming	JuegaGerman	2052	Chile	CL	Games	237	1	2	66388000	16600	265600	199200	3200000	0	2013	May	19	885	18952038	709	16610135	-35675147	-71542969
42	Billie Eilish	Artistic visuals and raw musical talent, Billie Eilish's channel includes music videos and behind-the-scenes content.	English	47900000	13626331061	Music	Billie Eilish	65	United States	US	Music	263	16	21	146862000	36700	587400	440600	7000000	0	2013	Feb	6	882	328239523	147	270663028	3709024	-95712891
43	Get Movies	Offers a range of Russian animated series and full-length films, catering to both children and adults.	Russian	47500000	30788679536	Entertainment	Get Movies	3322	Russia	RU	Film	35	1	4	306540000	76600	1200000	919600	14700000	0	2006	Dec	16	819	144373535	459	107683889	6152401	105318756
44	Shemaroo	Showcases a wide array of Indian content, from classic movies and songs to religious and devotional programming.	Hindi	47400000	22519705183	Entertainment	Shemaroo	11451	India	IN	Entertainment	97	17	10	232744000	58200	931000	698200	11200000	0	2007	Sep	1	281	1366417754	536	471031528	20593684	7896288
45	Badabun	"Spanish-language entertainment channel known for its series ""Exponiendo Infieles"" and other social experiments."	Spanish	46800000	19398045702	Entertainment	badabun	1	Mexico	MX	Music	4047729	0	5525	440	11	2	1	21	0	2007	Jul	21	402	126014024	342	102626859	23634501	-102552784
46	SonyMusicIndiaVEVO	Features Indian VEVO music content, including hit singles and popular music videos.	Hindi	46600000	27286058807	Music	SonyMusicIndiaVEVO	3444	United States	US	Music	55	17	22	314505000	78600	1300000	943500	15100000	0	2009	Sep	2	882	328239523	147	270663028	3709024	-95712891
47	A4	A channel featuring pranks, challenges, and vlogs, designed to entertain with lighthearted content.	Russian	46300000	22936630813	Gaming	aefour	1	Cuba	CU	People	4053056	99	5359	94	2	38	28	5	0	2006	Mar	11	414	11333483	164	8739135	21521757	-77781167
48	Bad Bunny	The Puerto Rican artists channel offers a blend of reggaeton and Latin trap, featuring music videos and live performances.	Spanish	46100000	30686342319	Music	badbunny	1	United States	US	Sports	4046070	0	4501	1	0	0	0	5	0	2005	Nov	15	882	328239523	147	270663028	3709024	-95712891
49	Fernanfloo	Combines gaming content with comedic commentary, creating a unique and engaging experience for his followers.	Spanish	46100000	10323391593	Gaming	Fernanfloo	543	El Salvador	SV	Games	419	1	3	33842000	8500	135400	101500	1600000	0	2011	May	2	294	6453553	411	4694702	13794185	-8889653
50	Voot Kids	Children's content platform offering a wide variety of shows, cartoons, and educational material.	Hindi	45500000	21388725229	Entertainment	Voot Kids	4660	India	IN	Entertainment	105	18	13	233988000	58500	936000	702000	11200000	0	2016	Nov	23	281	1366417754	536	471031528	20593684	7896288
51	Felipe Neto	Brazilian entertainer Felipe Neto brings comedy, book reviews, general entertainment, and daily vlogs to a vast Portuguese-speaking audience.	Portuguese	45200000	16602198273	Entertainment	Felipe Neto	4331	Brazil	BR	Entertainment	174	2	14	130359000	32600	521400	391100	6300000	0	2006	May	16	513	212559417	1208	183241641	-14235004	-5192528
52	Voc	NA	NA	44700000	7828610828	Entertainment	Voc?	1558	Brazil	BR	Entertainment	681	3	15	48032000	12000	192100	144100	2300000	0	2013	Sep	1	513	212559417	1208	183241641	-14235004	-5192528
53	HAR PAL GEO	Pakistani channel featuring full episodes of dramas, teasers, and content related to the entertainment broadcast by Geo TV.	Urdu	44600000	41139050371	Entertainment	HAR PAL GEO	100755	Pakistan	PK	Entertainment	20	1	15	1337000000	334300	5300000	4000000	64200000	0	2008	Jan	2	90	216565318	445	79927762	30375321	69345116
54	BRIGHT SIDE	Delivers a mix of trivia, fun facts, and self-improvement content aimed at inspiring and intriguing the curious mind.	English	44500000	10708531817	Howto & Style	brightside	0	Cyprus	CY	Entertainment	4057944	0			0	0	0	0	0	2005	Nov	18	970	1260138	643	838000	351264	334299
55	Katy Perry	Official channel for pop icon Katy Perry, showcasing her colorful and story-driven music videos, and exclusive behind-the-scenes content.	English	44200000	25458952022	Music	Katy Perry	128	United States	US	Music	70	19	24	134242000	33600	537000	402700	6400000	0	2008	Jun	1	882	328239523	147	270663028	3709024	-95712891
56	whinderssonnunes	Brazilian YouTuber Whindersson Nunes engages with humor and parodies, also shares personal life stories and music.	Portuguese	44200000	4274709210	Comedy	whinderssonnunes	558	Brazil	BR	Comedy	1741	4	1	26683000	6700	106700	80100	1300000	0	2013	Jan	21	513	212559417	1208	183241641	-14235004	-5192528
57	ABS-CBN Entertainment	Offers a vast array of Filipino dramas, comedies, and reality shows, bringing the essence of Philippine entertainment.	Filipino	44200000	50292540392	People & Blogs	ABS-CBN Entertainment	193890	Philippines	PH	Entertainment	16	1	16	176629000	44200	706500	529900	8500000	0	2008	Jul	16	355	108116615	215	50975903	12879721	121774017
58	Alan Walker	The channel of Norwegian DJ Alan Walker, a place for his music videos, behind-the-scenes footage, and documentary series.	English	43700000	12884264778	Music	alanwalker	8	Thailand	TH	Film	4056116	4026	5270	22	1	9	7	1	0	2006	May	12	493	69625582	75	35294600	15870032	100992541
59	HolaSoyGerman.	German Garmendias channel delivers comedic sketches and musings on life, capturing a wide Spanish-speaking audience.	Spanish	43600000	4831311245	Entertainment	holasoygerman. 2	6	Chile	CL	People	4047806	0	7716	4	0	2	1	19	0	2016	May	27	885	18952038	709	16610135	-35675147	-71542969
60	Shakira	Features the global superstar Shakira's music videos, dance tutorials, and footage of humanitarian work.	Spanish	43500000	27568757295	People & Blogs	Shakira	326	Colombia	CO	Howto	52	1	3	353412000	88400	1400000	1100000	17000000	0	2005	Oct	16	553	50339443	971	40827302	4570868	-74297333
61	ARY Digital HD	A platform for Pakistani television content, showcasing popular dramas, live shows, and special broadcasts.	Urdu	43200000	37939780685	Entertainment	ARY Digital HD	109871	Pakistan	PK	Entertainment	24	2	18	1149000000	287300	4600000	3400000	55200000	0	2016	Jul	11	90	216565318	445	79927762	30375321	69345116
62	Speed Records	The leading Punjabi music channel featuring a plethora of music videos, lyrical videos, and film content.	Punjabi	42500000	26820902622	Music	Speed Records	10938	India	IN	Music	62	19	26	159757000	39900	639000	479300	7700000	0	2012	Nov	22	281	1366417754	536	471031528	20593684	7896288
63	Masha and The Bear	Russian animated series that recounts the adventures of a little girl named Masha and her caring friend, the Bear.	Russian	42400000	24519022988	Shows	Masha and The Bear	1218	United States	US	Film	74	20	5	670459000	167600	2700000	2000000	32200000	0	2014	Sep	17	882	328239523	147	270663028	3709024	-95712891
64	Like Nastya Show	Follows the lively experiences of Nastya and her parents, presenting playtime and educational activities.	Russian	42400000	19547696190	Entertainment	Like Nastya Show	618	United States	US	Entertainment	128	21	19	53202000	13300	212800	159600	2600000	0	2017	Nov	14	882	328239523	147	270663028	3709024	-95712891
65	Rihanna	The official channel of R&B artist Rihanna, featuring her sultry music videos, live performances, and fashion collaborations.	English	41900000	22477745835	Entertainment	Rihanna	84	Barbados	BB	Music	98	1	27	182926000	45700	731700	548800	8800000	0	2005	Nov	6	654	287025	1033	89431	13193887	-59543198
66	Ishtar Music	NA	Arabic	41400000	17608931161	Trailers	Ishtar Music	4510	India	IN	Music	155	20	28	180942000	45200	723800	542800	8700000	0	2005	Sep	22	281	1366417754	536	471031528	20593684	7896288
67	Kimberly Loaiza	A top Mexican influencer, Kimberly Loaiza shares her life, music videos, and challenges with her fans.	Spanish	41300000	5603111948	People & Blogs	Kimberly Loaiza	291	Mexico	MX	People	1157	2	1	136745000	34200	547000	410200	6600000	0	2016	Nov	16	402	126014024	342	102626859	23634501	-102552784
68	Little Baby Bum - Nursery Rhymes & Kids Songs	Offers engaging animated stories and nursery rhymes that delight children and aid in early education and development.	English	40900000	39450824833	Education	Little Baby Bum - Nursery Rhymes & Kids Songs	2423	United States	US	Education	22	22	7	98775000	24700	395100	296300	4700000	0	2011	Jun	22	882	328239523	147	270663028	3709024	-95712891
69	Luisito Comunica	One of the biggest Spanish-speaking YouTubers, Luisito travels the world sharing his experiences with humor and curiosity.	Spanish	40600000	8670473639	Comedy	Luis Arturo Villar Sudek	0	Mexico	MX	Comedy	3612215	3021	0		0	0	0	0	0	2010	Jun	18	402	126014024	342	102626859	23634501	-102552784
70	elrubiusOMG	Rubn Doblas, better known as El Rubius, creates a variety of content from gameplays to vlogs, beloved by the Spanish-speaking community.	Spanish	40400000	7410536668	Gaming	elrubiusOMG	703	Spain	ES	Entertainment	756	0	21	5773000	1400	23100	17300	277100	0	2011	Dec	20	889	47076781	1396	37927409	40463667	-374922
71	Toys and Colors	Kid-friendly channel featuring unboxing videos, educational content, and playtime activities with toys.	English	40300000	47005053156	Entertainment	Toys and colors	4	United States	US	People	3989650	0	7330	5	0	2	2	24	0	2018	Jun	14	882	328239523	147	270663028	3709024	-95712891
72	shfa2	NA	Arabic	39700000	23884824160	People & Blogs	shfa2 - ??	1596	United Arab Emirates	AE	People	81	1	2	247731000	61900	990900	743200	11900000	0	2017	Nov	6	368	9770529	235	8479744	23424076	53847818
73	LUCCAS NETO - LUCCAS TOON	Luccas Neto channel is filled with children stories, fantasy narratives, and family-friendly content.	Portuguese	39400000	22302547082	People & Blogs	LUCCAS NETO- LUCCAS TOON	1	Brazil	BR	Games	4057895	0	7498	2	0	1	1	1	0	2021	Mar	25	513	212559417	1208	183241641	-14235004	-5192528
74	CarryMinati	Ajey Nagar, aka CarryMinati, offers a blend of comedic skits, live gaming, and parodies in Hindi.	Hindi	39200000	3294013141	Comedy	CarryMinati	186	India	IN	Comedy	2487	21	2	78688000	19700	314800	236100	3800000	0	2014	Oct	30	281	1366417754	536	471031528	20593684	7896288
75	XXXTENTACION	The late rappers channel continues to house his music and legacy, sharing intense and introspective hip-hop.	English	39200000	10507474316	Music	XXXTENTACION	133	United States	US	Music	403	24	29	58362000	14600	233400	175100	2800000	0	2015	Jun	23	882	328239523	147	270663028	3709024	-95712891
76	Super Simple Songs - Kids Songs	Provides a collection of easy-to-learn nursery rhymes and songs for children, accompanied by simple animations.	English	39200000	44900897958	Education	Super Simple Songs - Kids Songs	744	Canada	CA	Education	19	2	8	560756000	140200	2200000	1700000	26900000	0	2006	Sep	8	689	36991981	556	30628482	56130366	-106346771
77	Mikecrack	Spanish gaming channel with a humorous twist, featuring Minecraft videos, song parodies, and animated stories.	Spanish	39100000	16118181673	Gaming	Mikecrack	1876	Spain	ES	Games	188	1	4	264108000	66000	1100000	792300	12700000	0	2015	Jul	13	889	47076781	1396	37927409	40463667	-374922
78	WorkpointOfficial	Thai channel offering a variety of entertainment ranging from game shows to talent contests and comedy sketches.	Thai	39000000	36131228583	Entertainment	WorkpointOfficial	72580	Thailand	TH	Entertainment	27	1	24	130461000	32600	521800	391400	6300000	0	2012	Nov	5	493	69625582	75	35294600	15870032	100992541
79	GR6 EXPLODE	A hub for funk music fans in Brazil, GR6 EXPLODE features the latest hits and music videos from the streets of Sao Paulo.	Portuguese	38900000	25154232306	Music	GR6 EXPLODE	3043	Brazil	BR	Music	73	6	30	1635000000	408700	6500000	4900000	78500000	0	2014	Aug	5	513	212559417	1208	183241641	-14235004	-5192528
80	TEDx Talks	Shares talks from the independently organized events of the TED community around the world.	English	38600000	7339333120	Nonprofits & Activism	TEDx Talks	200933	United States	US	Nonprofit	768	25	1	45638000	11400	182600	136900	2200000	0	2009	Jun	23	882	328239523	147	270663028	3709024	-95712891
81	shfa	NA	Arabic	38400000	21528116909	People & Blogs	shfa	982	Saudi Arabia	SA	Games	150882	774	1454	1589000	397	6400	4800	76300	0	2018	May	24	680	34268528	593	28807838	23885942	45079162
82	Goldmines Gaane Sune Ansune	Curates classic Bollywood music, catering to nostalgia with a rich collection of melodies from the past.	Hindi	38300000	16718192386	Music	Goldmines Gaane Sune Ansune	3532	India	IN	Music	170	22	31	814756000	203700	3300000	2400000	39100000	0	2015	Aug	24	281	1366417754	536	471031528	20593684	7896288
83	One Direction	Maintains the legacy of the popular boy band One Direction, with music videos, live performances, and interviews.	English	38200000	13598903820	Music	21 Savage	11	United States	US	Music	539848	2904	2594	6348	2	25	19	305	0	2016	Jun	26	882	328239523	147	270663028	3709024	-95712891
84	TheEllenShow	Ellen DeGeneres' channel includes clips from her talk show, celebrity interviews, games, and original series.	English	38200000	22756581750	Entertainment	TheEllenShow	15672	United States	US	Entertainment	93	26	26	21804000	5500	87200	65400	1000000	0	2006	Nov	21	882	328239523	147	270663028	3709024	-95712891
85	Sony PAL	Indian channel that showcases a wide array of family-oriented TV serials and various genres of entertainment.	Hindi	38200000	28519339489	Shows	Sony PAL	24089	India	IN	Entertainment	49	23	25	415914000	104000	1700000	1200000	20000000	0	2014	May	9	281	1366417754	536	471031528	20593684	7896288
86	Daddy Yankee	The King of Reggaeton, Daddy Yankee channel vibrates with energetic music videos and updates on his musical journey.	Spanish	38000000	22731415608	Music	Daddy Yankee	505	United States	US	Music	92	27	33	205594000	51400	822400	616800	9900000	0	2011	May	16	882	328239523	147	270663028	3709024	-95712891
87	Vlad	NA	English	37900000	23510152352	Entertainment	Vlad	515	United States	US	Entertainment	84	28	27	244093000	61000	976400	732300	11700000	0	2018	Jul	20	882	328239523	147	270663028	3709024	-95712891
88	Like Nastya ESP	Spanish version of Like Nastya, offering engaging content tailored for Spanish-speaking kids and families.	Spanish	37600000	18208196857	Entertainment	Like Nastya ESP	743	United States	US	Entertainment	145	29	28	321026000	80300	1300000	963100	15400000	0	2017	Apr	22	882	328239523	147	270663028	3709024	-95712891
89	one31	Thai entertainment channel presenting a collection of soap operas, TV shows, and entertainment news.	Thai	37500000	27262462114	Entertainment	one31	117152	Thailand	TH	Entertainment	56	2	29	140754000	35200	563000	422300	6800000	0	2013	Jan	10	493	69625582	75	35294600	15870032	100992541
90	Jkk Entertainment	Indian comedy and entertainment channel with a focus on humorous skits and characters.	Hindi	37200000	16402066717	Comedy	Jkk Entertainment	220	India	IN	Comedy	178	24	3	49861000	12500	199400	149600	2400000	0	2017	Mar	20	281	1366417754	536	471031528	20593684	7896288
91	ABP NEWS	Delivers breaking news and in-depth analysis of news stories from India and around the world.	Hindi	37000000	13102611515	People & Blogs	ABP NEWS	301308	India	IN	News	280	25	2	267060000	66800	1100000	801200	12800000	0	2012	Jun	1	281	1366417754	536	471031528	20593684	7896288
92	Maria Clara & JP	Brazilian kids' channel featuring siblings Maria Clara and JP in their daily adventures and creative play.	Portuguese	37000000	24188861917	People & Blogs	Maria Clara & JP	744	Brazil	BR	Entertainment	75	7	30	251449000	62900	1000000	754300	12100000	0	2015	Sep	6	513	212559417	1208	183241641	-14235004	-5192528
93	Bruno Mars	The multi-talented artist Bruno Mars shares his music videos, live performances, and more with his fans.	English	36700000	19378155425	Music	Bruno Mars	99	United States	US	Music	134	30	34	175243000	43800	701000	525700	8400000	0	2006	Sep	19	882	328239523	147	270663028	3709024	-95712891
94	Maroon 5	The band channel is home to their music videos, lyric videos, and live performances, showcasing their pop-rock hits.	English	36600000	22553923546	Music	Maroon 5	171	United States	US	Music	96	31	35	152825000	38200	611300	458500	7300000	0	2006	Mar	9	882	328239523	147	270663028	3709024	-95712891
95	Ultra Bollywood	Indian channel providing movie scenes, songs, and full-length films from the golden era to contemporary Bollywood.	Hindi	36600000	15653786446	Trailers	Ultra Bollywood	9168	India	IN	Entertainment	205	26	31	131462000	0	0	0	0	0	2009	Oct	21	281	1366417754	536	471031528	20593684	7896288
